,0,1
1773,met,14
1774,welcome,2
1775,prettiest,1
1776,smartest,1
1777,bunch,7
1778,staff,5
1779,yet,16
1780,luck,6
1781,plump,5
1782,bald,8
1783,master-of-ceremonies,1
1784,wheezed,1
1785,lapel,1
1786,microphone,1
1787,sample,1
1788,hospitality,1
1789,testing,3
1790,kitchens,5
1791,offer,2
1792,appreciation,1
1793,visit,12
1794,delicate,3
1795,ladylike,1
1796,spatter,1
1797,applause,1
1798,enormous,8
1799,linen-draped,1
1800,eleven,8
1801,supervising,2
1802,editors,3
1803,hygienic,1
1804,smocks,1
1805,neat,2
1806,hair-nets,1
1807,flawless,2
1808,peach-pie,1
1809,missing,6
1810,stayed,6
1811,saved,5
1812,place-card,1
1813,top,13
1814,lacy,1
1815,script,1
1816,wreath,1
1817,frosted,4
1818,daisies,3
1819,edge,16
1820,framing,1
1821,show,25
1822,spending,2
1823,spent,12
1824,luncheon,3
1825,women's,1
1826,features,4
1827,lush,1
1828,double-page,1
1829,spreads,1
1830,technicolour,4
1831,meals,2
1832,theme,3
1833,locale,1
1834,shown,1
1835,endless,1
1836,glossy,3
1837,difficult,7
1838,photograph,8
1839,apple,3
1840,pie,1
1841,à,1
1842,la,1
1843,mode,1
1844,ice-cream,4
1845,keeps,2
1846,propped,9
1847,toothpicks,1
1848,starts,1
1849,soppy,1
1850,sight,14
1851,stacked,3
1852,dizzy,2
1853,cooked,1
1854,economy,2
1855,joints,1
1856,meat-loafs,1
1857,forkful,1
1858,enjoy,3
1859,forty-one,1
1860,pound,2
1861,pennies,2
1862,sunday,8
1863,chairs,8
1864,speech,1
1865,bowed,3
1866,secretly,5
1867,eyed,2
1868,position,4
1869,bowls,1
1870,strategically,1
1871,figured,8
1872,reach,4
1873,mountainous,2
1874,centrepiece,1
1875,marzipan,2
1876,share,2
1877,bread-and-butter,1
1878,plate,9
1879,grandfather,7
1880,joke,6
1881,club,9
1882,drove,10
1883,brother,12
1884,alternated,1
1885,served,3
1886,supper,11
1887,whichever,1
1888,regular,7
1889,guests,1
1890,loved,11
1891,introducing,4
1892,titbits,1
1893,passionate,1
1894,vichyssoise,1
1895,anchovy,1
1896,paste,2
1897,intended,1
1898,afforded,1
1899,robbed,1
1900,kitchen,11
1901,suitcase,11
1902,clinking,1
1903,goblets,1
1904,silverware,1
1905,china,7
1906,paved,2
1907,slices,3
1908,thickly,1
1909,spreading,2
1910,peanut-butter,1
1911,piece,9
1912,bread,2
1913,rolled,12
1914,ooze,1
1915,ate,10
1916,discovered,4
1917,extreme,1
1918,apprehension,1
1919,spoons,1
1920,incorrect,1
1921,certain,6
1922,arrogance,1
1923,properly,4
1924,bad-mannered,1
1925,poorly,1
1926,original,2
1927,trick,3
1928,poet,12
1929,horrible,2
1930,lumpy,4
1931,speckled,1
1932,tweed,1
1933,jacket,6
1934,pants,2
1935,red-and-blue,1
1936,checked,2
1937,open-throated,1
1938,jersey,2
1939,formal,1
1940,fountains,1
1941,chandeliers,1
1942,suits,4
1943,immaculate,4
1944,shirts,2
1945,leaf,6
1946,antithesis,1
1947,art,2
1948,stubby,1
1949,travelling,2
1950,forth,6
1951,dripping,3
1952,lettuce,1
1953,whispered,8
1954,rude,3
1955,sensible,3
1956,members,1
1957,anywhere,9
1958,friendly,5
1959,confident,1
1960,finished,13
1961,laid,11
1962,tackled,1
1963,avocados,2
1964,hidden,4
1965,briefcase,1
1966,soiled,2
1967,comics,1
1968,taught,5
1969,grape,1
1970,jelly,2
1971,dressing,2
1972,saucepan,1
1973,filling,2
1974,garnet,1
1975,sauce,2
1976,homesick,1
1977,bland,2
1978,comparison,1
1979,fur,11
1980,worried,4
1981,competition,2
1982,scraped,2
1983,salty,2
1984,dish,3
1985,soup,5
1986,licked,1
1987,smiled,27
1988,all-purpose,2
1989,neckerchief,1
1990,mink,2
1991,tails,3
1992,gold,6
1993,chain,3
1994,exact,2
1995,copy,2
1996,woolworth,2
1997,dollar,9
1998,ninety-eight,1
1999,hilda,15
2000,nipped,1
2001,wholesale,1
2002,warehouses,1
2003,discount,2
2004,dropped,19
2005,stitched,1
2006,bus,9
2007,peered,15
2008,expensive-looking,1
2009,scarf,1
2010,furry,2
2011,fastened,3
2012,dangling,2
2013,understood,2
2014,tall,17
2015,slanted,1
2016,lips,18
2017,vacant,2
2018,slavic,3
2019,apprenticed,2
2020,apart,5
2021,literary,2
2022,wrote,16
2023,columns,1
2024,health,2
2025,startling,2
2026,constructed,2
2027,bits,4
2028,straw,3
2029,ribbon,1
2030,veiling,1
2031,subtle,2
2032,bizarre,1
2033,shades,3
2034,murmured,2
2035,fine,27
2036,scalding,1
2037,remark,3
2038,miraculous,2
2039,furpiece,1
2040,cheer,2
2041,unmasked,1
2042,herself,18
2043,suspicions,1
2044,true,12
2045,hide,3
2046,truth,6
2047,grants,3
2048,slowing,1
2049,dropping,2
2050,race,2
2051,repeating,1
2052,question,7
2053,ago,5
2054,wanting,5
2055,convince,2
2056,wounded,1
2057,done,20
2058,planning,4
2059,earlier,1
2060,assy,1
2061,coney,2
2062,island,8
2063,shot,1
2064,anyhow,1
2065,film,4
2066,première,3
2067,afternoon,13
2068,nobody'll,1
2069,tempted,2
2070,cared,2
2071,furs,1
2072,central,2
2073,park,5
2074,spend,9
2075,longest,2
2076,find,16
2077,duck-ponded,1
2078,wilderness,2
2079,either,21
2080,stay,13
2081,wondered,27
2082,tired,6
2083,sadder,1
2084,bustling,1
2085,calling,5
2086,i'd,7
2087,blank,8
2088,ceiling,4
2089,stillness,1
2090,grow,5
2091,bigger,5
2092,eardrums,2
2093,rang,7
2094,stared,27
2095,receiver,6
2096,bone-coloured,1
2097,cradle,2
2098,ringing,3
2099,forgotten,4
2100,spoke,14
2101,husky,1
2102,receptive,1
2103,hello,9
2104,rapped,3
2105,brutal,1
2106,promptitude,1
2107,today,12
2108,sank,8
2109,sheets,9
2110,mimeographed,2
2111,schedule,2
2112,cards,3
2113,track,4
2114,activities,1
2115,mornings,2
2116,afternoons,2
2117,affairs,3
2118,optional,1
2119,pause,4
2120,meekly,1
2121,figure,5
2122,oh-oh,1
2123,sympathetically,1
2124,plopped,2
2125,dessert,2
2126,meringue,1
2127,brandy,1
2128,untouched,3
2129,absently,2
2130,awkward,4
2131,wan,4
2132,entrance,4
2133,desk,12
2134,swivel,3
2135,facing,5
2136,potted,3
2137,plants,2
2138,shelf,5
2139,springing,1
2140,garden,5
2141,does,18
2142,interest,8
2143,esther,46
2144,interests,2
2145,words,15
2146,convincing,1
2147,controlled,1
2148,studying,6
2149,reading,10
2150,mad,5
2151,actually,7
2152,correspondent,2
2153,gazette,1
2154,secretary,2
2155,honour,2
2156,deals,1
2157,academic,1
2158,social,2
2159,offences,1
2160,punishments,1
2161,popular,2
2162,well-known,1
2163,professor,10
2164,faculty,2
2165,championing,1
2166,graduate,4
2167,biggest,1
2168,universities,1
2169,east,4
2170,promises,1
2171,scholarships,4
2172,best,17
2173,intellectual,3
2174,balk,2
2175,cart,2
2176,horse,4
2177,interested,3
2178,hollow,6
2179,flatness,1
2180,wooden,13
2181,nickels,3
2182,waspishly,1
2183,learn,10
2184,shirt-cuffs,1
2185,stuff,8
2186,sepulchral,2
2187,tone,4
2188,quick,7
2189,year,25
2190,mildly,1
2191,grant,1
2192,study,13
2193,europe,10
2194,write,16
2195,books,16
2196,plans,2
2197,tongue,8
2198,shock,20
2199,recognize,3
2200,nondescript,1
2201,ages,1
2202,introduces,1
2203,father,32
2204,sham,3
2205,paused,11
2206,german,12
2207,telling,13
2208,childhood,3
2209,stoned,1
2210,war,5
2211,children,21
2212,german-speaking,1
2213,manic-depressive,1
2214,hamlet,1
2215,prussia,1
2216,younger,3
2217,moment,13
2218,experiment,2
2219,international,1
2220,berlin,1
2221,native,1
2222,dictionary,2
2223,book,19
2224,dense,1
2225,barbed-wire,1
2226,letters,17
2227,clam,1
2228,publishing,2
2229,recover,1
2230,thread,3
2231,lead,3
2232,salesmanship,1
2233,apply,1
2234,mercilessly,1
2235,probably,15
2236,spanish,1
2237,italian,8
2238,russian,7
2239,hundreds,3
2240,flood,2
2241,june,3
2242,thinking,14
2243,need,4
2244,run-of-the-mill,1
2245,scrap,4
2246,space,7
2247,senior,7
2248,honours,5
2249,programmes,1
2250,teaches,1
2251,independently,1
2252,tolstoy,1
2253,dostoevsky,1
2254,seminar,1
2255,advanced,3
2256,poetry-composition,1
2257,obscure,2
2258,works,2
2259,james,2
2260,joyce,2
2261,finnegan,2
2262,thesis,4
2263,leads,1
2264,images,1
2265,twins,2
2266,double-barrelled,1
2267,accelerated,1
2268,courses,3
2269,elementary,2
2270,rigged,1
2271,persuading,2
2272,dean,4
2273,regarded,3
2274,required,2
2275,physics,9
2276,chemistry,14
2277,already,14
2278,botany,2
2279,answered,5
2280,test,1
2281,botanist,1
2282,grasses,1
2283,africa,3
2284,american,8
2285,rain,12
2286,forests,1
2287,win,1
2288,off-beat,2
2289,areas,1
2290,easily,4
2291,winning,2
2292,italy,1
2293,english,13
2294,cutting,2
2295,microscope,1
2296,drawing,1
2297,diagrams,3
2298,mould,2
2299,heart-shaped,1
2300,sex,6
2301,cycle,1
2302,lisping,1
2303,named,7
2304,mr,34
2305,manzi,10
2306,holding,13
2307,steep,3
2308,grooved,1
2309,slide,2
2310,equal,5
2311,acceleration,1
2312,t,2
2313,scribbling,1
2314,numbers,6
2315,equals,1
2316,blackboard,5
2317,porous,1
2318,paper,17
2319,hundred,7
2320,pages,2
2321,drawings,1
2322,photographs,2
2323,formulas,6
2324,brick-red,1
2325,cardboard,1
2326,written,9
2327,explain,5
2328,worked,3
2329,try,9
2330,published,2
2331,studied,2
2332,watched,22
2333,balls,2
2334,slides,2
2335,listened,8
2336,bells,1
2337,ring,4
2338,semester,3
2339,failed,2
2340,complaining,1
2341,conspiring,1
2342,escaping,1
2343,panic-struck,1
2344,enlarged,2
2345,holes,3
2346,breathe,2
2347,fascinating,2
2348,carotene,1
2349,xanthophyll,1
2350,hideous,1
2351,cramped,2
2352,scorpion-lettered,1
2353,chalk,4
2354,worse,5
2355,chart,1
2356,ninety-odd,1
2357,elements,1
2358,lab,5
2359,cobalt,1
2360,aluminium,1
2361,shortened,1
2362,abbreviations,1
2363,decimal,1
2364,strain,1
2365,brain,7
2366,fail,1
2367,outright,2
2368,clever,1
2369,plan,6
2370,needed,8
2371,shakespeare,3
2372,major,8
2373,exams,1
2374,classes,4
2375,credits,1
2376,honourable,1
2377,content,1
2378,meant,12
2379,form,2
2380,anyway,9
2381,strengthened,1
2382,fact,4
2383,science,3
2384,suffer,1
2385,ruling,1
2386,agreement,1
2387,flattered,1
2388,enjoyed,2
2389,materialistic,1
2390,credit,2
2391,sheer,1
2392,ingenious,2
2393,suggest,1
2394,unnecessary,2
2395,gesture,7
2396,bear,2
2397,succeeded,1
2398,scheme,2
2399,hadn't,3
2400,scared,6
2401,seriously,1
2402,contemplated,2
2403,desperate,1
2404,remedies,1
2405,doctor,183
2406,certificate,1
2407,unfit,1
2408,regardless,2
2409,petition,1
2410,professors,2
2411,touched,9
2412,step,13
2413,maturity,1
2414,times,8
2415,rickety,1
2416,amphitheatre,2
2417,flames,1
2418,flares,1
2419,clouds,3
2420,pouring,1
2421,contents,1
2422,test-tube,2
2423,mosquito,2
2424,enjoying,1
2425,fires,3
2426,page,15
2427,villanelles,1
2428,sonnets,1
2429,glance,4
2430,send,5
2431,appreciative,1
2432,exam,2
2433,presentation,1
2434,fascinated,3
2435,evasion,1
2436,conjured,1
2437,billowed,1
2438,easter,1
2439,vacation,4
2440,smelt,5
2441,rotten,1
2442,sorry,13
2443,knees,8
2444,apologizing,1
2445,liar,1
2446,manuscripts,4
2447,kindly,3
2448,typing,3
2449,interoffice,1
2450,memo,2
2451,sending,2
2452,interrupted,2
2453,practical,4
2454,gossip,2
2455,noon,6
2456,lady,27
2457,sold,3
2458,yorker,2
2459,magazines,3
2460,lots,9
2461,staggered,2
2462,amount,4
2463,careful,2
2464,writer,5
2465,flatter,1
2466,hurt,11
2467,less,4
2468,cherubs,1
2469,wall-clock,1
2470,waved,6
2471,wings,3
2472,trumpets,1
2473,pinged,1
2474,notes,5
2475,tour,3
2476,early,7
2477,lilac,1
2478,blouse,10
2479,pinned,4
2480,lilacs,1
2481,powdered,1
2482,briefly,5
2483,adjusted,3
2484,spectacles,5
2485,patted,2
2486,lilac-gloved,1
2487,wicked,1
2488,minutes,9
2489,ee,2
2490,gee,3
2491,rubber,5
2492,african,2
2493,violets,1
2494,wished,3
2495,shorthand,14
2496,support,2
2497,died,16
2498,hated,10
2499,dying,6
2500,leaving,10
2501,trust,2
2502,insurance,1
2503,salesmen,1
2504,skill,2
2505,degree,1
2506,apostles,1
2507,tent-makers,1
2508,live,19
2509,dabbled,1
2510,wiped,4
2511,linen,6
2512,napkin,5
2513,precisely,3
2514,fuzzy,4
2515,lip-shape,1
2516,bloomed,2
2517,finger-bowl,2
2518,benefactress,1
2519,custom,1
2520,freckled,2
2521,thank,6
2522,philomena,11
2523,guinea,24
2524,nineteen-hundreds,1
2525,novel,6
2526,bette,1
2527,davis,1
2528,serial,1
2529,turned,36
2530,lived,7
2531,mansion,1
2532,coal-black,1
2533,ink,4
2534,embossed,1
2535,autumn,1
2536,bicycled,1
2537,hills,5
2538,campus,1
2539,commuting,1
2540,knowledge,5
2541,opening,6
2542,perhaps,11
2543,able,8
2544,library,5
2545,stock,3
2546,crammed,1
2547,beginning,3
2548,suspenseful,1
2549,questions,5
2550,evelyn,1
2551,discern,2
2552,roger,1
2553,past,19
2554,hector,1
2555,feverishly,1
2556,donald,1
2557,child,7
2558,elsie,1
2559,rollmop,1
2560,secluded,2
2561,farm,1
2562,griselda,1
2563,demanded,5
2564,bleak,1
2565,moonlit,1
2566,pillow,8
2567,earned,2
2568,millions,2
2569,invited,4
2570,cherry,1
2571,blossoms,2
2572,floating,3
2573,japanese,2
2574,after-dinner,1
2575,including,1
2576,crisp,2
2577,debutante,1
2578,dinner,5
2579,sunnily-lit,1
2580,interior,2
2581,offices,2
2582,fuming,1
2583,rinses,1
2584,sky,13
2585,saucers,1
2586,hiss,1
2587,sent,14
2588,stream,4
2589,writhing,1
2590,gleaming,3
2591,egg-beater,1
2592,day's,1
2593,revolving,1
2594,found,29
2595,spewed,1
2596,throbbing,1
2597,cave,2
2598,emily,3
2599,ann,3
2600,offenbach,2
2601,prim,1
2602,bun,2
2603,teaneck,2
2604,movie,8
2605,starred,1
2606,allyson,1
2607,sexy,4
2608,black-haired,1
2609,elizabeth,1
2610,taylor,1
2611,broad-shouldered,1
2612,boneheads,1
2613,rick,1
2614,gil,2
2615,football,3
2616,romance,1
2617,hate,6
2618,seems,2
2619,obliged,1
2620,costume,1
2621,scene,2
2622,clothes-horse,1
2623,trees,14
2624,wheat,1
2625,ocean,2
2626,rolling,5
2627,action,1
2628,stands,1
2629,cheering,1
2630,chrysanthemums,1
2631,cabbages,1
2632,lapels,1
2633,swooped,1
2634,dates,6
2635,wind,11
2636,sneaked,1
2637,powder-room,2
2638,intense,2
2639,finally,25
2640,hero,1
2641,mistress,2
2642,packing,3
2643,ticket,3
2644,peculiar,2
2645,rows,1
2646,rapt,2
2647,heads,4
2648,glow,3
2649,shadow,15
2650,moon-brains,1
2651,danger,2
2652,puking,2
2653,whether,15
2654,stomach-ache,1
2655,half-dark,2
2656,screen,4
2657,deadly,1
2658,concentration,1
2659,seats,3
2660,excuse,5
2661,length,3
2662,grumbled,2
2663,hissed,3
2664,shifted,3
2665,umbrellas,1
2666,pass,7
2667,ballooning,1
2668,remains,1
2669,tepid,1
2670,sifting,1
2671,fright,1
2672,bloom,1
2673,cheeks,7
2674,drained,2
2675,checkered,1
2676,cabs,1
2677,decide,6
2678,taxi,4
2679,reached,16
2680,puked,2
2681,twice,6
2682,corners,2
2683,momentum,2
2684,thrown,3
2685,seat,11
2686,picking,2
2687,hum,1
2688,protested,2
2689,driving,5
2690,main,4
2691,dare,3
2692,add,1
2693,fare,4
2694,kleenexes,1
2695,mess,4
2696,luckily,4
2697,quiet,10
2698,hugged,4
2699,good-bye,5
2700,undressed,2
2701,toilet,5
2702,struggled,1
2703,bathrobe,10
2704,cornflowers,3
2705,bathroom,9
2706,groaning,1
2707,hurried,6
2708,washbowl,2
2709,losing,2
2710,guts,3
2711,sickness,5
2712,waves,3
2713,wave,3
2714,fade,1
2715,shivering,2
2716,rising,2
2717,torture-chamber,1
2718,tiles,2
2719,closed,8
2720,squeezed,4
2721,pieces,4
2722,loudly,1
2723,stopper,1
2724,anybody,18
2725,washing,3
2726,reasonably,2
2727,safe,8
2728,winter,6
2729,shaking,4
2730,banging,4
2731,towel,14
2732,manners,1
2733,pounding,2
2734,pleading,1
2735,dimly,3
2736,bungled,1
2737,molasses,2
2738,rose,14
2739,flushed,3
2740,tenth,1
2741,slopped,1
2742,stains,2
2743,unlocked,4
2744,fatal,1
2745,glassily,1
2746,swam,2
2747,view,19
2748,shoe,8
2749,stout,4
2750,cracked,8
2751,scalloped,2
2752,pattern,4
2753,toe,1
2754,pointed,7
2755,placed,2
2756,surface,9
2757,hurting,1
2758,cheekbone,1
2759,clue,5
2760,notion,3
2761,vague,4
2762,heap,2
2763,cry,15
2764,sleeve,1
2765,cod,2
2766,cool,7
2767,rational,1
2768,region,1
2769,strange,8
2770,allowed,5
2771,solid,5
2772,comforting,1
2773,fallen,4
2774,fall,14
2775,farther,5
2776,belong,1
2777,um,1
2778,one's,1
2779,missin,1
2780,oney,1
2781,care,12
2782,boomp,5
2783,ear,10
2784,fainter,2
2785,voices,10
2786,groans,3
2787,armpits,1
2788,lovey,2
2789,move,15
2790,sheet,13
2791,chin,6
2792,rested,3
2793,armchair,8
2794,fanning,1
2795,gilt-rimmed,1
2796,nurse,109
2797,cap,5
2798,poisoned,4
2799,anythin,1
2800,whatever,7
2801,stuffin,1
2802,yourselves,1
2803,affirmed,1
2804,relish,1
2805,dogs,3
2806,cryin,1
2807,ma,1
2808,hovered,2
2809,gentleness,1
2810,tables,4
2811,withholding,1
2812,sympathy,1
2813,sudden,5
2814,frailty,1
2815,ninjection,1
2816,doorway,5
2817,drifted,3
2818,toward,2
2819,crackled,2
2820,wad,1
2821,lowered,5
2822,evening,15
2823,dawn,4
2824,amber,3
2825,liquid,2
2826,pads,3
2827,chickeny,1
2828,aroma,1
2829,fumed,1
2830,tentatively,3
2831,raised,9
2832,silhouetted,1
2833,paling,1
2834,tips,4
2835,halo,1
2836,expert,3
2837,tenderness,4
2838,flowing,1
2839,fern-scented,1
2840,bent,17
2841,broth,1
2842,sand,5
2843,purged,2
2844,window-sill,3
2845,chain-smoker,1
2846,tests,3
2847,chock-full,4
2848,ptomaine,1
2849,vision,5
2850,celestially,1
2851,stretching,2
2852,infinity,1
2853,photographed,2
2854,brilliant,2
2855,pink-mottled,1
2856,claw-meat,1
2857,poking,4
2858,seductively,1
2859,blanket,14
2860,rim,9
2861,alligator-green,1
2862,cradling,1
2863,poison,1
2864,pumped,1
2865,somebody's,1
2866,analyzed,2
2867,dodos,1
2868,keeling,1
2869,ninepins,1
2870,ha,4
2871,echoed,2
2872,hollowly,1
2873,added,5
2874,carton,1
2875,delivery,3
2876,sue,1
2877,penny,1
2878,law,3
2879,present,6
2880,result,1
2881,carting,1
2882,yours,3
2883,begged,3
2884,i've,1
2885,rustling,2
2886,sound,12
2887,tearing,1
2888,printed,4
2889,thirty,5
2890,lap,10
2891,suppose,6
2892,fished,1
2893,soups,1
2894,tray,16
2895,mistake,6
2896,hotdogs,2
2897,mouthful,3
2898,telegram,2
2899,completely,9
2900,hitched,3
2901,mouthpiece,2
2902,collarbone,1
2903,earpiece,1
2904,detected,2
2905,slight,3
2906,foreign,1
2907,accent,1
2908,constantin,31
2909,something-or-other,1
2910,k,1
2911,cried,6
2912,clutching,1
2913,collected,1
2914,socrates,3
2915,son,3
2916,greek,4
2917,hollywood,1
2918,catholic,13
2919,ruined,1
2920,addition,1
2921,attila,2
2922,administration,2
2923,gradually,2
2924,arrange,1
2925,meeting,5
2926,hysterical,2
2927,giggle,2
2928,nonplussed,1
2929,touch,5
2930,vocabulary,1
2931,guest,2
2932,arrangements,2
2933,foreigners,1
2934,abroad,1
2935,houses,7
2936,traded,2
2937,russia,1
2938,yes,33
2939,stiffly,2
2940,ah,5
2941,laden,1
2942,meaning,3
2943,hang,3
2944,grim,1
2945,building,10
2946,glamorous,2
2947,passionately,1
2948,prosy,1
2949,nothings,1
2950,duty,2
2951,post-un,1
2952,sandwich,2
2953,jack,2
2954,morale,2
2955,satisfaction,2
2956,although,7
2957,earth,8
2958,hypocrite,5
2959,adored,2
2960,beautiful,14
2961,caught,6
2962,humour,1
2963,unvarnished,1
2964,staying,4
2965,unsettling,2
2966,experiences,1
2967,dwarfish,1
2968,bellhop's,1
2969,rushed,4
2970,immediately,10
2971,aware,2
2972,bellhop,2
2973,switching,1
2974,stations,1
2975,uneasy,2
2976,firmly,3
2977,bringing,1
2978,insinuating,1
2979,wheel,5
2980,shutting,3
2981,slam,2
2982,curious,4
2983,behaviour,1
2984,ninny,1
2985,quarter,1
2986,least,8
2987,thirty-five,2
2988,eager,1
2989,service,5
2990,handing,1
2991,per,3
2992,cent,4
2993,change,10
2994,fifteen,4
2995,please,5
2996,tipped,2
2997,dime,2
2998,flourish,1
2999,palm,7
3000,hoping,4
3001,canadian,1
3002,ta,1
3003,loud,8
3004,broke,6
3005,driven,1
3006,beside,12
3007,embarrassing,2
3008,tipping,1
3009,percentage,1
3010,risen,2
3011,cab-driver,1
3012,louse,1
3013,poodle,3
3014,flowered,1
3015,bedjacket,1
3016,basket,2
3017,embroidered,1
3018,sampler,1
3019,lavender,2
3020,flipped,2
3021,fig-tree,10
3022,lawn,9
3023,jewish,5
3024,convent,1
3025,nun,8
3026,pick,7
3027,ripe,1
3028,figs,8
3029,egg,9
3030,hatching,1
3031,bird,9
3032,nest,1
3033,branch,2
3034,peck,1
3035,backs,4
3036,mean-faced,1
3037,kitchen-maid,1
3038,counted,8
3039,lovely,2
3040,snow,13
3041,spring,2
3042,crawl,4
3043,lines,3
3044,print,1
3045,fence,3
3046,unitarian,4
3047,imaginary,3
3048,separate,8
3049,ways,3
3050,weak,1
3051,weaker,1
3052,adirondacks,5
3053,heel,3
3054,doctors,34
3055,tune,2
3056,singing,1
3057,poem,6
3058,proud,5
3059,blond,4
3060,answer,20
3061,conversations,3
3062,older,6
3063,scientific,1
3064,repeated,2
3065,beginnings,1
3066,answering,3
3067,sharply,2
3068,imagined,5
3069,starting,5
3070,cadavers,4
3071,you're,4
3072,curing,1
3073,reckon,1
3074,lasts,1
3075,doctoring,1
3076,repeat,1
3077,themselves,18
3078,unhappy,1
3079,trouble,17
3080,honest-to-god,1
3081,kissed,6
3082,prom,6
3083,turtleneck,1
3084,sweater,2
3085,handsome,6
3086,drop,11
3087,flabbergasted,1
3088,church,13
3089,sundays,1
3090,cross-country,1
3091,practice,2
3092,mothers,2
3093,prep,2
3094,earning,1
3095,fighting,1
3096,blister,1
3097,rust,1
3098,montana,1
3099,chums,1
3100,saturday,6
3101,march,1
3102,peter,2
3103,hermit,2
3104,walter,2
3105,penniless,2
3106,history,5
3107,crusades,1
3108,freshman,3
3109,seniors,5
3110,beat,3
3111,playing,9
3112,squash,1
3113,week-ends,3
3114,blind,12
3115,date,8
3116,sweaty-handed,1
3117,aunt's,2
3118,mushroomy,1
3119,protruding,3
3120,buck,2
3121,leg,12
3122,deserved,1
3123,crippled,2
3124,combed,2
3125,mail,3
3126,khaki,5
3127,zipper,1
3128,dungarees,2
3129,frayed,2
3130,sneakers,2
3131,grinning,3
3132,hitch-hiking,2
3133,porch,4
3134,nosey,1
3135,curiously,2
3136,obviously,4
3137,wicker,4
3138,rocking-chairs,1
3139,sunlight,4
3140,windless,1
3141,sophomore,1
3142,joan,124
3143,idiot,1
3144,gilling,3
3145,president,1
3146,hockey,1
3147,champion,4
3148,squirmy,2
3149,starey,2
3150,pebble-coloured,1
3151,tombstone,3
3152,breathy,3
3153,months,4
3154,meanly,1
3155,cares,1
3156,enjoys,1
3157,out-of-doors,1
3158,week-end,8
3159,bicycle,1
3160,rock,10
3161,joan's,2
3162,expect,5
3163,disappointed,5
3164,matter-of-fact,1
3165,nicknames,1
3166,dartmouth,1
3167,stiffened,1
3168,rocking-chair,1
3169,crest,2
3170,inviting,1
3171,yips,1
3172,shouting,2
3173,pitch-dark,1
3174,hugging,2
3175,treated,4
3176,amazement,1
3177,respect,3
3178,oddly,1
3179,spontaneously,1
3180,wasting,2
3181,golden,2
3182,days,14
3183,noses,1
3184,cousin,4
3185,danced,2
3186,mile,3
3187,auld,1
3188,lang,1
3189,syne,1
3190,sleeping,11
3191,living-room,4
3192,couch,3
3193,shattered,1
3194,visions,1
3195,worry,8
3196,approached,6
3197,aghast,1
3198,chem_istry,1
3199,hilly,2
3200,haven,1
3201,admire,1
3202,footing,1
3203,rough,4
3204,soil,3
3205,memorize,1
3206,spacing,1
3207,wow,3
3208,uninspiring,1
3209,mouths,2
3210,chapped,1
3211,modestly,1
3212,hastily,4
3213,manage,1
3214,fainting,1
3215,steps,5
3216,fooled,1
3217,begging,2
3218,hospital,36
3219,sights,1
3220,friday,1
3221,stool,3
3222,unhuman-looking,1
3223,leathery,1
3224,purple-black,1
3225,pickle,2
3226,jars,3
3227,babies,16
3228,curled-up,1
3229,frog,2
3230,normal,6
3231,piggy,1
3232,calm,8
3233,gruesome,3
3234,jumped,7
3235,dissect,1
3236,lung,2
3237,burning,5
3238,sensation,1
3239,occurred,11
3240,leapt,4
3241,exclamation,3
3242,explained,3
3243,pickling,1
3244,fluid,1
3245,lecture,3
3246,sickle,1
3247,cell,3
3248,anaemia,1
3249,diseases,1
3250,wheeled,6
3251,platform,2
3252,mole,10
3253,appeared,6
3254,bell,9
3255,corridor,6
3256,mask,2
3257,gauze,3
3258,sidney,1
3259,greenstreet,1
3260,nearby,3
3261,unpleasant,2
3262,loves,2
3263,busy,1
3264,unfortunate,1
3265,consider,2
3266,examining,2
3267,plaque,1
3268,dinner-plate,1
3269,stoop-shouldered,1
3270,gloomily,1
3271,beading,1
3272,forehead,4
3273,third-year,1
3274,deliver,1
3275,eight,3
3276,bustle,1
3277,lime-green,1
3278,coats,2
3279,skull-caps,1
3280,nurses,16
3281,towards,16
3282,ragged,3
3283,procession,1
3284,wheeling,3
3285,trolley,13
3286,lump,1
3287,muttered,1
3288,struck,9
3289,lifting,3
3290,torture,1
3291,metal,8
3292,stirrups,2
3293,sticking,4
3294,mid-air,2
3295,instruments,3
3296,wires,3
3297,tubes,2
3298,spider-fat,1
3299,unhuman,1
3300,whooing,1
3301,drug,4
3302,pain,6
3303,swore,1
3304,groaned,2
3305,twilight,1
3306,invent,1
3307,groan,1
3308,start,12
3309,doorless,1
3310,windowless,1
3311,tomolillo,12
3312,shaven,1
3313,disinfectant,2
3314,appear,2
3315,scissors,1
3316,woman's,2
3317,cloth,3
3318,blood,19
3319,fierce,1
3320,pop,4
3321,plum,1
3322,floured,1
3323,streaked,1
3324,terrified,1
3325,will's,1
3326,massaging,1
3327,lorn,1
3328,croaky,1
3329,pee,1
3330,unusual,2
3331,divided,4
3332,groups,2
3333,tying,1
3334,dog-tag,1
3335,wrist,6
3336,swabbing,2
3337,wrapping,2
3338,canvas-sided,1
3339,cot,2
3340,sewing,1
3341,needle,2
3342,raise,2
3343,satisfied,3
3344,quadrangle,1
3345,important,8
3346,awake,4
3347,elbows,2
3348,ordeal,1
3349,radiant,1
3350,waist,10
3351,reaching,2
3352,flour,1
3353,conversation,1
3354,waxy,1
3355,guarded,2
3356,monk,1
3357,loaded,2
3358,gray,1
3359,anatomy,2
3360,candle,1
3361,uncorked,1
