,0,1
451,waiting,19
452,married,25
453,career,3
454,man,100
455,looked,110
456,awfully,3
457,bored,6
458,sun-roof,1
459,yawning,2
460,painting,1
461,nails,2
462,trying,28
463,keep,13
464,bermuda,1
465,tans,1
466,seemed,89
467,hell,13
468,talked,10
469,yachts,2
470,flying,4
471,aeroplanes,2
472,skiing,1
473,switzerland,1
474,christmas,10
475,brazil,2
476,make,48
477,jealous,1
478,speak,7
479,england,3
480,except,12
481,trip,3
482,chance,10
483,sitting,37
484,letting,3
485,run,15
486,through,98
487,fingers,22
488,much,54
489,water,56
490,troubles,1
491,doreen,103
492,never,106
493,known,10
494,before,73
495,society,4
496,south,5
497,bright,32
498,standing,11
499,cotton,5
500,candy,6
501,fluff,1
502,transparent,2
503,agate,1
504,marbles,1
505,hard,19
506,polished,3
507,indestructible,1
508,set,23
509,sort,34
510,perpetual,2
511,sneer,4
512,nasty,5
513,amused,1
514,mysterious,2
515,if,229
516,silly,15
517,tell,77
518,jokes,2
519,singled,2
520,made,85
521,sharper,1
522,others,8
523,really,49
524,wonderfully,2
525,funny,9
526,used,14
527,sit,12
528,next,49
529,conference,3
530,table,33
531,visiting,4
532,celebrities,2
533,talking,12
534,whisper,3
535,witty,2
536,sarcastic,1
537,remarks,3
538,under,80
539,breath,15
540,fashion-conscious,1
541,said,385
542,covers,4
543,material,1
544,dresses,5
545,each,46
546,changed,8
547,matching,4
548,kind,21
549,detail,1
550,impressed,2
551,suggested,3
552,whole,44
553,marvellous,1
554,elaborate,3
555,decadence,1
556,attracted,2
557,magnet,1
558,ever,32
559,bawled,2
560,bothering,1
561,assignments,1
562,deadline,1
563,you,617
564,sweating,3
565,lounged,3
566,bed,88
567,peach,1
568,silk,6
569,dressing-gown,2
570,filing,1
571,nicotine-yellow,1
572,emery,1
573,board,6
574,while,52
575,typed,2
576,draft,2
577,interview,5
578,best-selling,1
579,novelist,3
580,another,61
581,rest,22
582,starched,3
583,nighties,1
584,quilted,1
585,housecoats,1
586,maybe,20
587,terry-towel,1
588,robes,1
589,doubled,1
590,beachcoats,1
591,wore,10
592,full-length,2
593,nylon,3
594,lace,5
595,half,18
596,see,144
597,dressing-gowns,1
598,colour,8
599,skin,23
600,electricity,1
601,interesting,7
602,slightly,10
603,sweaty,3
604,smell,5
605,scallopy,1
606,leaves,8
607,fern,2
608,break,7
609,crush,1
610,between,48
611,musk,1
612,old,64
613,jay,48
614,cee,48
615,wo,19
616,give,22
617,damn,2
618,story,16
619,tomorrow,4
620,monday,3
621,lit,11
622,cigarette,6
623,let,63
624,smoke,14
625,flare,2
626,slowly,14
627,nostrils,3
628,veiled,1
629,ugly,12
630,sin,3
631,went,93
632,coolly,4
633,bet,4
634,husband,11
635,hers,4
636,turns,2
637,lights,17
638,he,428
639,near,9
640,puke,5
641,otherwise,2
642,boss,4
643,liked,15
644,lot,39
645,spite,14
646,gushers,1
647,eyelashes,2
648,giddy,1
649,jewellery,4
650,brains,2
651,plug-ugly,1
652,looks,4
653,seem,15
654,matter,17
655,couple,11
656,languages,6
657,quality,2
658,writers,3
659,business,10
660,tried,37
661,imagine,16
662,strict,1
663,suit,10
664,luncheon-duty,1
665,hat,8
666,couldn't,11
667,always,50
668,terribly,3
669,together,33
670,teach,7
671,ladies,23
672,suddenly,22
673,lid,5
674,typewriter,3
675,clicked,3
676,shut,34
677,grinned,6
678,smart,4
679,somebody,69
680,tapped,4
681,door,92
682,is,96
683,bother,8
684,betsy,38
685,coming,26
686,party,7
687,go,102
688,imported,1
689,straight,29
690,kansas,5
691,bouncing,1
692,blonde,10
693,pony-tail,1
694,sweetheart-of-sigma-chi,1
695,smile,34
696,remember,25
697,once,30
698,two,75
699,called,28
700,blue-chinned,1
701,tv,3
702,producer,3
703,pin-stripe,1
704,any,76
705,angles,1
706,build,1
707,programme,3
708,started,53
709,male,1
710,female,1
711,corn,3
712,tears,9
713,his,224
714,unfortunately,2
715,beauty,3
716,editor,11
717,persuaded,1
718,cover,9
719,smiling,22
720,p.q,1
721,wife,8
722,wears,1
723,b.h,1
724,wragge,1
725,ads,1
726,asking,10
727,things,23
728,save,7
729,asked,55
730,pollyanna,2
731,cowgirl,2
732,want,50
733,come,94
734,cab,16
735,shook,14
736,okay,3
737,hear,20
738,padding,3
739,hall,52
740,ll,89
741,told,73
742,stubbing,1
743,base,1
744,bedside,7
745,reading-lamp,1
746,stage,3
747,remind,2
748,dances,1
749,school,23
750,gym,3
751,why,70
752,yalies,1
753,they're,1
754,stoo-pit,1
755,yale,14
756,him,128
757,oh,51
758,managed,8
759,marks,7
760,affair,7
761,awful,21
762,waitress,12
763,cape,2
764,name,33
765,gladys,4
766,speck,2
767,intuition,3
768,everything,27
769,secret,8
770,voice,71
771,speaking,7
772,bones,3
773,theatre-hour,1
774,rush,2
775,sat,57
776,wedged,2
777,front,36
778,four,16
779,moved,25
780,terrific,3
781,wearing,15
782,strapless,4
783,dress,17
784,zipped,1
785,snug,1
786,corset,2
787,curved,2
788,bulged,3
789,spectacularly,1
790,above,9
791,below,3
792,bronzy,1
793,polish,3
794,pale,33
795,dusting-powder,1
796,smelled,2
797,strong,4
798,perfume,1
799,store,4
800,shantung,1
801,sheath,5
802,cost,6
803,forty,3
804,dollars,9
805,part,22
806,buying,3
807,spree,1
808,money,23
809,heard,39
810,lucky,8
811,ones,9
812,queerly,2
813,bra,2
814,didn't,9
815,skinny,2
816,boy,32
817,barely,3
818,rippled,2
819,feeling,18
820,almost,27
821,naked,7
822,nights,10
823,city,19
824,faded,3
825,tan,4
826,yellow,22
827,chinaman,1
828,ordinarily,1
829,nervous,7
830,odd,9
831,forget,10
832,worries,1
833,wise,5
834,lumber,1
835,shirt,5
836,chinos,1
837,tooled,1
838,cowboy,2
839,boots,8
840,stroll,1
841,striped,5
842,awning,2
843,bar,12
844,eyeing,4
845,illusions,1
846,perfectly,22
847,well,108
848,threaded,3
849,stopped,23
850,cars,7
851,leaned,15
852,engagingly,2
853,sill,1
854,open,35
855,window,38
856,may,7
857,ask,21
858,nice,23
859,alone,7
860,night,49
861,hike,1
862,wide,7
863,tooth-paste-ad,1
864,re,39
865,blurted,1
866,since,20
867,gone,24
868,dumb,6
869,post,1
870,fiddling,1
871,blasé,1
872,sounds,1
873,boring,5
874,join,2
875,drinks,5
876,ve,36
877,friends,15
878,nodded,8
879,direction,8
880,informally,1
881,dressed,11
882,slouching,1
883,following,4
884,glanced,12
885,burst,10
886,laughing,13
887,laughter,1
888,warned,2
889,low,18
890,know-it-all,1
891,snicker,2
892,traffic,4
893,showed,19
894,signs,3
895,tight,10
896,seconds,1
897,wishing,1
898,taken,24
899,gift,3
900,besides,7
901,planned,4
902,carefully,9
903,day,88
904,natural,3
905,opened,38
906,stepped,19
907,edging,3
908,ahead,14
909,walk,13
910,terrible,14
911,shriek,1
912,brakes,1
913,followed,10
914,dull,21
915,thump-thump,1
916,hey,10
917,cabby,3
918,craning,1
919,furious,5
